id,en,de,answer,,
23,"""If a group of people or if disabled persons are crossing the street, the green phase is extended, thus ensuring that everyone gets safely across the street,"" explained Arnold.","""Sollte eine Gruppe oder gehbehinderte Menschen über die Straße gehen, wird die Grünphase verlängert, es kommt also jeder sicher über die Fahrbahn"", erklärte Arnold.","Wenn eine Gruppe von Menschen oder Menschen mit Behinderungen die Straße überqueren, wird die grüne Phase verlängert, um sicherzustellen, dass alle sicher über die Straße gelangen.",,
24,"Of course, drivers must also play their part and keep their eyes on the road.",Natürlich müsse der Autofahrer hier als Partner mitdenken und die Fahrbahn beobachten.,Die Fahrer müssen auch ihre Augen auf die Straße behalten.,,
25,Yesterday this was not the case: The light had barely turned green for pedestrians when a luxury vehicle sped through on a red light.,"Dies war gestern nicht der Fall: Kaum zeigte die Ampel für Fußgänger grün, rauschte ein Oberklasse-Fahrzeug durch - bei leuchtendem Rot.","Gestern war es nicht so. Die Lichter waren kaum grün, als Fußgänger eine Luxusfahrzeug auf einem roten Licht vorbeifuhren.",,
26,"For more than 30 years, Josef Winkler has been writing from the heart, telling of the hardships of his childhood and youth.",Josef Winkler schreibt sich seit mehr als 30 Jahren die Nöte seiner Kindheit und Jugend von der Seele.,„Josef Winkler hat seit über drei Jahrzehnten aus dem Herzen geschrieben und die Strapazen seiner Kindheit und Jugend erzählt.“,,
27,"The catastrophes of his Catholic village upbringing - the speechlessness, his tendency towards brute force and dulled sexuality, the confinement and lack of joy - all of this has been described many times by the Kaernten-born poet.","Die Katastrophen seiner katholischen Dorfkindheit - die Sprachlosigkeit, der Hang zu roher Gewalt und stumpfer Sexualität, die Enge und Freudlosigkeit - hat der Kärntner Dichter vielfach beschrieben.","Die Katastrophen seiner katholischen Kindheit – die Stummheit, seine Tendenz zu brutaler Gewalt und verblassender Sexualität, die Einsamkeit und der Mangel an Freude – wurden von dem kaerntenischen Dichter oft beschrieben.",,
28,"The Büchner prizewinner is known primarily as a writer of prose, with theatre texts something of a rarity for him.","Bekannt ist der Büchner-Preisträger vor allem als Prosaautor, Theatertexte sind in seinem Werk rar.","Der Büchner-Preisträger ist vor allem als Schriftsteller von Prosa bekannt, mit Theaterstücken etwas ungewöhnlich für ihn.",,
29,"In a collage of prose texts For his performance piece, ""Wetterleuchten auf der Zungenspitze"" (Summer lightning on the tip of your tongue), which can now be seen in Garage X on Petersplatz, Gerhard Fresacher ,creates a collage of prose texts.","Collage aus Prosatexten Gerhard Fresacher stellt für seine Aufführung ""Wetterleuchten auf der Zungenspitze"", die nun in der Garage X am Petersplatz zu sehen ist, daher eine Collage aus Prosatexten zusammen.","Auf einer Collage aus Texten für seine Performance-Aufführung „Wettingen auf der Zahnspitze“ (Sommerlich leuchtende Wolken auf der Spitze deiner Zunge), die jetzt in der Garage X auf Petersplatz zu sehen ist, schafft Gerhard Frescher ein Collage aus Texte.",,
30,"The theatre producer has thus combined elements from the autobiographically inspired novel ""Der Leibeigene"" (1987) [The Bondsman] featuring prose miniatures from ""Leichnam, seine Familie belauernd"" (2003) [Corpse, stalking his family].","Der Theatermacher verbindet etwa Elemente aus dem autobiografisch geprägten Roman ""Der Leibeigene"" (1987) mit Prosaminiaturen aus ""Leichnam, seine Familie belauernd"" (2003).","Der Theaterproduzent hat somit Elemente aus dem autobiografisch inspirierten Roman „Der Leibeszeuge“ (ausgestrahlt 1998) ([The Bondsmen]) kombiniert, wobei Prosa-Kurzgeschichten aus „Leichnmens, sein Familienbelagernd“ (25. Oktober 2013) verwendet werden.",,
31,"On the predominantly empty stage - with one important requirement: a crumpled sofa, on which cast members allude to copulating and masturbating - the eight-person ensemble work their way through the text material.","Auf der weitgehend leergeräumten Bühne - wichtiges Requisit: ein zerknautschtes Sofa, auf dem andeutungsweise kopuliert und masturbiert wird - hangelt sich das achtköpfige Ensemble durch das Textmaterial.","Auf der überwiegend leeren Bühne – mit einer wichtigen Voraussetzung: ein zerknittertes Sofa, auf dem die Schauspieler sich auf die Textmaterialien beziehen.",,
32,"However, Director Fresacher seems to have little trust in the text.",Dabei scheint Regisseur Fresacher dem Text wenig zu vertrauen.,Der Direktor Fresacher scheint wenig Vertrauen in den Text zu haben.,,
33,"The 70-minute performance glosses over the script with a host of director's additions, well-known from the repertoire of post-dramatic theatrical styles.","Die 70-minütige Performance übertüncht die Vorlage mit einer Fülle an Regieeinfällen, bekannt aus dem Repertoire postdramatischer Spielformen.","Die Performance umfasst eine umfangreiche Sammlung von diretorischen Ergänzungen, die aus dem Repertoire postdramatischer Theaterstile stammen.",,
34,"In particular, the actresses play a major role in the sometimes rather dubious staging.",Vor allem die Schauspielerinnen kommen bei den mitunter etwas fragwürdigen szenischen Umsetzungen dran.,Die Schauspielerinnen spielen eine bedeutende Rolle bei der gelegentlich fragwürdigen Inszenierung.,,
35,"They are manhandled, their heads held under water, tacked to the wall by their evening gowns.","Sie werden hart angefasst, mit dem Kopf unter Wasser getaucht, mit ihren Abendroben an die Wand getackert.","Sie werden mit Gewalt behandelt, ihre Köpfe unter Wasser gehalten und an die Wand geklebt, während sie ihre Abendkleider tragen.",,
36,"Wrapped in cellophane or in girdles, they stumble on dangerously high heels across the set, either delivering monologues at the top of their voices or lying completely silent on the stage.","Eingezwängt in Zellophan oder Mieder, staksen sie auf gefährlich hohen Stöckeln durch die Inszenierung, entweder monologisieren sie lautstark oder liegen völlig verstummt auf dem Bühnenboden.","Verpackt in Folie oder in Ketten, sie stolpern gefährlich auf hohen Absätzen über den Platz, entweder Monologe vortragen oder völlig still auf der Bühne sitzen.",,
37,"However, the source text makes barely any reference to this intense delivery.",Der Text vermittelt sich auf diese angestrengte Weise jedoch kaum.,Es gibt kaum Bezug zum intensiven Versand.,,
38,The best moments of the evening is when the singing starts - tracks range from Deep Purple to traditional folk songs.,"Die besten Momente hat der Abend, wenn gesungen wird - die Bandbreite reicht von Deep Purple bis zu volkstümlichem Liedgut.","Die besten Momente des Abends sind, wenn die Musik beginnt – von Deep Purple bis traditionellen Volksliedern.",,
39,"Only towards the end does the highly charged performance start to wind down, and we see flashes of Winkler's somewhat absurd sense of humour.","Erst gegen Ende kommt die überdrehte Aufführung etwas zur Ruhe, und Winklers nachgerade absurder Humor blitzt auf.","Mit zunehmendem Ende beginnt die hochgeladene Leistung zu schwinden, und wir sehen Reflexe des etwas seltsamen Humors von Winkler.",,
40,A black box in your car?,Eine Blackbox im Auto?,Ein schwarzes Gehäuse in Ihrem Auto?,,
41,"As America's road planners struggle to find the cash to mend a crumbling highway system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.","US-amerikanische Straßenplaner sind auf der Suche nach einer Geldquelle, um das verfallende Highway-System zu reparieren, und glauben die Lösung in einem kleinen schwarzen Kasten gefunden zu haben, der im Armaturenbrett jedes Autos Platz findet.","Die amerikanischen Straßenplaner kämpfen darum, die nötigen Mittel zu finden, um eine heruntergekommene Straßeninfrastruktur zu reparieren. Viele beginnen, eine kleine schwarze Box zu sehen, die sich gut am Armaturenbrett Ihres Autos einfügt.",,
42,"The devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in Washington and state planning offices to overhaul the outdated system for funding America's major roads.","Die Geräte, die jeden gefahrenen Kilometer aufzeichnen und die Informationen an die Behörden melden, sind Kernpunkt eines kontroversen Versuchs von Washington und den Planungsbüros der Bundesstaaten, das veraltete System zur Finanzierung US-amerikanischer Straßen zu überarbeiten.","Die Geräte, die jeden Kilometer, den ein Fahrer zurücklegt, erfassen und an Beamte weitergeben, sind Gegenstand eines umstrittenen Versuchs in Washington und staatlichen Planungsbehörden, um das veraltete System zur Finanzierung der großen Straßen Amerikas zu überarbeiten.",,
43,The usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances.,Das normalerweise eher langweilige Gebiet der Straßenplanung hat plötzlich eine intensive Debatte mit bunten Allianzen entfacht.,Das bisher unauffällige Feld der Straßenplanung hat sich plötzlich zu intensiven Debatten und farbigen Allianzen entwickelt.,,
44,"Libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax bill.","Libertäre haben sich mit Umweltgruppen verbündet und sprechen sich dafür aus, dass die Regierung die kleinen Boxen zum Aufzeichnen der gefahrenen Kilometer – und möglicherweise auch, wo sie gefahren wurden – verwenden und die Informationen dann für die Berechnung von Steuerbescheiden einsetzen kann.","Liberale Gruppen haben sich in Umweltschutzorganisationen zusammenschlossen, um die Möglichkeit zu fordern, dass die Regierung die Nutzung der kleinen Boxen zur Verfolgung der Fahrstrecken erlaubt und möglicherweise auch deren Standort zu nutzen, um eine Steuererklärung zu erstellen.",,
45,The tea party is aghast.,Die Tea Party ist entsetzt.,Die Teeparty ist erschrocken.,,
46,"The American Civil Liberties Union is deeply concerned, too, raising a variety of privacy issues.",Die amerikanische Bürgerrechtsvereinigung (ACLU) ist ebenfalls zutiefst besorgt und äußert eine Reihe von Datenschutzbedenken.,"Die Amerikanische Bürgerrechtsorganisation ist ebenfalls besorgt, eine Reihe von Datenschutzproblemen zu betrachten.",,
47,"And while Congress can't agree on whether to proceed, several states are not waiting.","Doch während man sich im Kongress nicht auf ein Vorgehen einigen kann, warten mehrere Bundesstaaten nicht länger.","Während Kongress nicht auf dem gleichen Weg ist, warten mehrere Staaten nicht auf.",,
48,"They are exploring how, over the next decade, they can move to a system in which drivers pay per mile of road they roll over.","Sie prüfen derzeit, wie sie im Laufe der nächsten zehn Jahre zu einem System wechseln können, bei dem Fahrer pro gefahrener Meile bezahlen.","Sie erforschen, über die nächsten zehn Jahre, wie sie sich zu einem System bewegen können, in dem Fahrer pro Mile fahren, den Straßen bezahlen.",,
49,"Thousands of motorists have already taken the black boxes, some of which have GPS monitoring, for a test drive.","Tausende von Autofahrern haben die Fahrtenschreiber, von denen einige mit GPS-Überwachung ausgestattet sind, bereits getestet.",Tausende Autofahrer haben bereits die schwarzen Boxen installiert und einige davon verfügen über GPS-Überwachung.,,
50,This really is a must for our nation.,Das ist wirklich ein Muss für unser Land.,Das ist wirklich unerlässlich für unser Land.,,
51,"""It is not a matter of something we might choose to do,"" said Hasan Ikhrata, executive director of the Southern California Assn. of Governments, which is planning for the state to start tracking miles driven by every California motorist by 2025.","„Es ist nichts, das wir nur möglicherweise verwenden werden“, sagte Hasan Ikhrata, Geschäftsführer der Southern California Assn. of Governments, die eine Aufzeichnung der gefahrenen Meilen bei allen kalifornischen Autofahrern im Bundesstaat ab 2025 plant.","“Es ist nicht eine Frage, ob wir etwas tun könnten,” sagte Hasan Ikchrata, der Geschäftsführer der Southern California Association of Government, die plant, den Staat dazu zu bringen, die Fahrstrecken aller Kalifornien-Autofahrern bis zum Jahr 2500 zu erfassen.“",,
52,There is going to be a change in how we pay these taxes.,"Die Art und Weise, wie wir diese Steuern zahlen, wird sich verändern.","Es wird eine Änderung bei der Art und Weise, wie wir diese Steuern bezahlen.",,
53,The technology is there to do it.,Die Technologie dafür ist da.,Die Technologie ist dafür da.,,
54,"The push comes as the country's Highway Trust Fund, financed with taxes Americans pay at the gas pump, is broke.","Die Initiative kommt zu einem Zeitpunkt, da der Highway Trust Fund, der aus den Steuern finanziert wird, die US-Amerikaner an der Zapfsäule entrichten, pleite ist.","Die Finanzierung des Landesautobahnfonds, der mit Steuern finanziert wird, die Amerikaner beim Tanken zahlen, ist gescheitert.",,
55,Americans don't buy as much gas as they used to.,Doch in Amerika wird nicht mehr so viel getankt wie früher.,Amerikaner kaufen weniger Gas als früher.,,
56,Cars get many more miles to the gallon.,Autos verbrauchen weniger Benzin.,Autos fahren mehr Meilen pro Gallone.,,
57,"The federal tax itself, 18.4 cents per gallon, hasn't gone up in 20 years.","Die staatliche Mineralölsteuer von 18,4 Cent pro Gallone (weniger als 4 Eurocent pro Liter) ist seit 20 Jahren nicht gestiegen.","Die bundesweite Steuer selbst, 0,184 Cent pro Gallone, ist seit 2 Jahrzehnten nicht gestiegen.",,
58,Politicians are loath to raise the tax even one penny when gas prices are high.,"Politiker wagen bei hohen Spritpreisen nicht, die Steuer auch nur um einen Cent anzuheben.","Politiker haben den Steuersatz kaum bereitwillig erhöht, wenn die Gaspreise hoch sind.",,
59,"""The gas tax is just not sustainable,"" said Lee Munnich, a transportation policy expert at the University of Minnesota.","„Die Benzinsteuer ist einfach nicht zukunftsfähig“, so Lee Munnich, ein Experte für Verkehrsgesetzgebung an der Universität von Minnesota.","„Der Gassteuern ist einfach nicht nachhaltig“, sagte Lee Munnich, ein Transportpolitischer Experte an der Universität Minnesota.",,
60,His state recently put tracking devices on 500 cars to test out a pay-by-mile system.,"Sein Bundesstaat hat kürzlich 500 Autos mit Fahrtenschreibern ausgerüstet, mit denen ein meilenbasiertes Bezahlsystem getestet werden soll.","Seine Regierung hat kürzlich Tracking-Geräte auf 200 Fahrzeuge aufgesetzt, um ein Pay-per-Mile-System zu testen.",,
61,"""This works out as the most logical alternative over the long term,"" he said.","„Das stellt die langfristig sinnvollste Alternative dar“, sagte er.","""Das ist die logischste Alternative langfristig.""",,
62,Wonks call it a mileage-based user fee.,Bürokraten bezeichnen es als meilenbasierte Benutzergebühr.,Mileage-basierte Nutzungsgebühr.,,
63,"It is no surprise that the idea appeals to urban liberals, as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases, for example.","Es überrascht nicht, dass die Idee bei städtischen Liberalen Anklang findet, denn die Steuer ließe sich beispielsweise dazu einsetzen, das Fahrverhalten so zu beeinflussen, dass Staus und klimaschädliche Abgase reduziert werden.","Es ist unerwartet, dass die Idee bei urbanen Liberalen Anklang findet, da die Steuern zur Veränderung von Fahrgewohnheiten beitragen könnten, um Staus zu reduzieren und Treibhausgase zu senken, zum Beispiel.",,
64,California planners are looking to the system as they devise strategies to meet the goals laid out in the state's ambitious global warming laws.,"Die kalifornischen Planer setzen auf das System bei der Ausarbeitung von Strategien, mit denen die ambitionierten, gesetzlich verankerten Ziele des Bundesstaats zum Klimawandel erreicht werden sollen.","Kalifornische Planer prüfen das System, um Strategien zu entwickeln, um die Ziele, die in den Landesgesetzen zur Bekämpfung des Klimawandels festgelegt sind, zu erreichen.",,
65,"But Rep. Bill Shuster (R-Pa.), chairman of the House Transportation Committee, has said he, too, sees it as the most viable long-term alternative.","Doch der Republikaner Bill Shuster aus Pennsylvania, Vorsitzender des House Transportation Committee, hat ebenfalls erklärt, dass er darin die gangbarste langfristige Alternative sehe.","Rep.-Chef des Kongresses der Repräsentanten des Staates Missouri, Bill Shusters, der ebenfalls sieht, dass es sich um die vielversprechendste langfristige Alternative handelt.",,
66,The free marketeers at the Reason Foundation are also fond of having drivers pay per mile.,"Auch die freien Vermarkter der Reason Foundation sind von der Idee angetan, Fahrer nach zurückgelegter Strecke zahlen zu lassen.","Freie Märkte bei der Reason Foundation schätzen auch, dass Fahrer pro Kilometer bezahlt werden.",,
67,"""This is not just a tax going into a black hole,"" said Adrian Moore, vice president of policy at Reason.","„Das ist keine Steuer, die in einem schwarzen Loch verschwindet“, erklärt Adrian Moore, Vizepräsident für Richtlinien bei Reason.","„Adrian Moore, der Vizepräsident für Politik bei Reason, sagte: „Dieser Steuersatz geht in einen Schwarzen Loch.““",,
68,People are paying more directly into what they are getting.,"Die Leute bezahlen direkt für das, was sie bekommen.","Personen zahlen direkt mehr für das, was sie erhalten.",,
69,"The movement is also bolstered by two former U.S. Transportation secretaries, who in a 2011 report urged Congress to move in the pay-per-mile direction.","Die Bewegung wird auch von zwei früheren amerikanischen Verkehrsministern unterstützt, die in einem Bericht im Jahr 2011 den Kongress aufgefordert hatten, sich in Richtung meilenbasierter Abrechnung zu bewegen.","Die Bewegung wird durch zwei ehemalige US-amerikanische Transportministern unterstützt, die in einem Bericht aus dem Jahr 1999 auf die Notwendigkeit hinwiesen, die Abrechnung nach Kilometerzahl voranzutreiben.",,
70,"The U.S. Senate approved a $90-million pilot project last year that would have involved about 10,000 cars.","Der US-Senat genehmigte letztes Jahr ein 90 Millionen Dollar teures Pilotprojekt, das 10.000 Autos umfasst hätte.","Der US-Kongress genehmigte im vergangenen Jahr eine Pilotprojekt-Forderung in Höhe von 90 Millionen Dollar, die etwa 1.005 Fahrzeuge betreffen sollte.",,
71,"But the House leadership killed the proposal, acting on concerns of rural lawmakers representing constituents whose daily lives often involve logging lots of miles to get to work or into town.","Doch die Mehrheit im Repräsentantenhaus verhinderte den Vorstoß und reagierte damit auf die Bedenken von Abgeordneten aus ländlichen Gebieten, die Menschen vertreten, die im Alltag oft viele Meilen auf dem Weg zur Arbeit oder in die Stadt zurücklegen müssen.","Das Führungsteam des Hauses hat die Vorlage verworfen, aufgrund von Bedenken der landesweiten Gesetzgeber, die sich mit der Arbeit von Landwirten befassen, die täglich viele Kilometer zur Arbeit oder in die Stadt fahren müssen.",,
72,Several states and cities are nonetheless moving ahead on their own.,Mehrere Bundesstaaten und Großstädte bewegen sich nichtsdestotrotz auf eigene Faust in diese Richtung.,Mehrere Bundesstaaten und Städte bewegen sich gleichzeitig voran.,,
73,"The most eager is Oregon, which is enlisting 5,000 drivers in the country's biggest experiment.","Am engagiertesten ist Oregon, das derzeit 5.000 Fahrer für das größte Experiment des Landes anwirbt.","Die größte Pilotstudie in der Geschichte der Vereinigten Staaten ist in Oregon geplant, bei der 5.00₀ Fahrer eingeschlossen sind.",,
74,Those drivers will soon pay the mileage fees instead of gas taxes to the state.,Diese Fahrer werden bald die Meilengebühren statt der Mineralölsteuer an den Bundesstaat zahlen.,Die Fahrer werden bald die Kilometergebühren anstatt der Kraftstoffsteuern an das Land zahlen.,,
75,Nevada has already completed a pilot.,Nevada hat bereits ein Pilotprojekt abgeschlossen.,Nevad**a** hat bereits eine Pilotstudie durchgeführt.,,
76,New York City is looking into one.,New York City erwägt ebenfalls ein solches.,Neuer York City untersucht ein.,,
77,Illinois is trying it on a limited basis with trucks.,Illinois testet es in eingeschränktem Maße mit Lkws.,Illinois testet es mit Lastwagen.,,
78,"And the I-95 Coalition, which includes 17 state transportation departments along the Eastern Seaboard (including Maryland, Pennsylvania, Virginia and Florida), is studying how they could go about implementing the change.","Und die I-95-Koalition, zu der die Verkehrsministerien von 17 Bundesstaaten an der Ostküste gehören (einschließlich Maryland, Pennsylvania, Virginia und Florida), untersucht derzeit, wie man die Änderung einführen könnte.","Und die I-85-Koalition, die aus 16 Bundesbehörden in der Ostküste umfasst, untersucht, wie sie die Änderung umsetzen könnten.",,
79,The concept is not a universal hit.,Das Konzept ist kein universeller Hit.,Das Konzept ist nicht ein universelles Erfolgserlebnis.,,
80,"In Nevada, where about 50 volunteers' cars were equipped with the devices not long ago, drivers were uneasy about the government being able to monitor their every move.","In Nevada, wo vor kurzem 50 Freiwillige mit den Geräten ausgestattet wurden, waren Autofahrer skeptisch beim Gedanken, die Regierung könnte jede ihrer Bewegungen verfolgen.","In Nord-Nevada, wo etwa fünfzehn Fahrzeuge der mit Geräten ausgestattet waren, waren die Fahrer besorgt über die Möglichkeit, dass die Regierung ihre Bewegungen überwachen könnte.",,
81,"""Concerns about Big Brother and those sorts of things were a major problem,"" said Alauddin Khan, who directs strategic and performance management at the Nevada Department of Transportation.","„Bedenken gegen Big Brother und derartige Dinge waren ein großes Problem“, erklärt Alauddin Khan, Leiter des Strategie- und Ergebnismanagements im Verkehrsministerium von Nevada.","Bedenken hinsichtlich „Big Brother“ und ähnlicher Angelegenheiten waren ein großes Problem, sagte Alauddin Kahn, der leitende strategische und Leistungsmanagement bei der Nevada State Highway Department.",,
82,It was not something people wanted.,Die Leute wollten es nicht.,"Es war nicht etwas, das Menschen wollten.",,
83,"As the trial got underway, the ACLU of Nevada warned on its website: ""It would be fairly easy to turn these devices into full-fledged tracking devices.""","Als der Test anlief, warnte die ACLU von Nevada auf ihrer Website: „Es wäre relativ einfach, die Fahrtenschreiber in ausgewachsene Überwachungsgeräte zu verwandeln.“","Als die Prüfung begann, warnte die ACLU Nevadas Website: „Es wäre relativ einfach, diese Geräte in vollständige Tracking-Geräte zu verwandeln.“",,
